FID,Shape,TARGET_FID,nitr_ran,lat,long
1636,Point,16380,-1.894772,45.4527,-90.9613
762,Point,7630,-1.836079,44.0216,-88.8459
1822,Point,18240,-1.807664,46.1377,-89.9232
830,Point,8310,-1.69606,44.1697,-88.539
1183,Point,11840,-1.662983,44.6116,-90.1579
1856,Point,18580,-1.627759,46.5911,-90.5746
1373,Point,13740,-1.586732,44.9314,-88.5212
801,Point,8020,-1.563103,44.1117,-88.5237
1076,Point,10770,-1.508055,44.4955,-90.1296
1031,Point,10320,-1.507075,44.4433,-88.2793
1182,Point,11830,-1.474603,44.6108,-89.9287
780,Point,7810,-1.445476,44.0547,-88.5354
1211,Point,12120,-1.425819,44.6427,-89.8812
1638,Point,16400,-1.407632,45.4575,-91.2713
949,Point,9500,-1.391651,44.345,-89.901
1314,Point,13150,-1.388843,44.8675,-88.5462
881,Point,8820,-1.372913,44.2436,-88.4218
1056,Point,10570,-1.365164,44.4728,-88.6762
824,Point,8250,-1.350034,44.1578,-88.5473
726,Point,7270,-1.343801,43.9425,-88.6932
1181,Point,11820,-1.294237,44.6089,-90.1604
903,Point,9040,-1.289399,44.2789,-88.264
1792,Point,17940,-1.280732,46.0108,-89.7207
1092,Point,10930,-1.276344,44.5122,-88.5104
1741,Point,17430,-1.256553,45.8741,-89.2779
968,Point,9690,-1.239071,44.3708,-89.8443
1593,Point,15940,-1.231276,45.3149,-87.9153
852,Point,8530,-1.227036,44.2014,-88.4915
1187,Point,11880,-1.220323,44.6172,-90.179
1861,Point,18630,-1.216259,46.7288,-92.088
1854,Point,18560,-1.19779,46.5644,-91.3874
1118,Point,11190,-1.197387,44.5419,-90.2646
1071,Point,10720,-1.167947,44.4894,-89.914
901,Point,9020,-1.141894,44.275,-88.4696
1228,Point,12290,-1.140272,44.6702,-90.1004
818,Point,8190,-1.115706,44.1455,-88.4926
1467,Point,14680,-1.114533,45.0614,-88.5237
1813,Point,18150,-1.114485,46.0994,-89.9227
1020,Point,10210,-1.112713,44.4311,-88.7095
1809,Point,18110,-1.104095,46.0836,-90.5488
765,Point,7660,-1.103102,44.0264,-88.1179
1220,Point,12210,-1.102923,44.6558,-90.2193
873,Point,8740,-1.09582,44.2325,-88.5487
1753,Point,17550,-1.094993,45.9077,-89.3585
1830,Point,18320,-1.093522,46.1763,-90.5096
1780,Point,17820,-1.067254,45.9827,-89.694
1634,Point,16360,-1.06294,45.448,-91.3777
870,Point,8710,-1.057979,44.2275,-88.4365
769,Point,7700,-1.051434,44.0333,-88.7057
866,Point,8670,-1.050779,44.2211,-88.414
871,Point,8720,-1.040383,44.2286,-88.5198
1043,Point,10440,-1.000994,44.4577,-90.2329
1786,Point,17880,-0.99053,45.9961,-89.6979
731,Point,7320,-0.987072,43.953,-88.8298
1852,Point,18540,-0.977556,46.5319,-92.1119
1161,Point,11620,-0.967905,44.5844,-90.1146
1807,Point,18090,-0.961757,46.0766,-89.5565
1768,Point,17700,-0.960303,45.9497,-89.3726
1170,Point,11710,-0.949351,44.5936,-89.9451
396,Point,3970,-0.948778,43.3322,-87.9056
1840,Point,18420,-0.936556,46.2697,-89.9271
1077,Point,10780,-0.909893,44.4963,-89.8754
1033,Point,10340,-0.892565,44.4453,-88.6832
1858,Point,18600,-0.883035,46.6086,-90.6996
1589,Point,15900,-0.882704,45.3033,-91.161
1120,Point,11210,-0.874265,44.5444,-90.1393
1210,Point,12110,-0.871029,44.6408,-90.1062
978,Point,9790,-0.870706,44.3858,-89.9757
772,Point,7730,-0.85962,44.0366,-88.8073
802,Point,8030,-0.837922,44.1128,-88.6868
1833,Point,18350,-0.833346,46.2,-91.2705
460,Point,4610,-0.830977,43.4203,-88.1651
1012,Point,10130,-0.826883,44.4239,-90.131
711,Point,7120,-0.789394,43.9155,-88.8662
1816,Point,18180,-0.788676,46.1161,-89.4051
1851,Point,18530,-0.771084,46.4988,-90.9032
1729,Point,17310,-0.768259,45.8266,-89.3026
917,Point,9180,-0.759161,44.2977,-90.0199
1014,Point,10150,-0.734371,44.4261,-90.1979
385,Point,3860,-0.725287,43.3208,-88.0054
948,Point,9490,-0.693779,44.3439,-90.1512
1230,Point,12310,-0.682066,44.6741,-90.099
702,Point,7030,-0.675117,43.8958,-88.6476
1084,Point,10850,-0.673322,44.5025,-87.7729
116,Point,1170,-0.665552,42.8353,-88.0065
1172,Point,11730,-0.654217,44.5975,-87.827
940,Point,9410,-0.64298,44.3319,-88.6679
1769,Point,17710,-0.639567,45.9533,-92.0535
1177,Point,11780,-0.627403,44.6036,-88.1345
1645,Point,16470,-0.622573,45.4747,-91.0785
1810,Point,18120,-0.620969,46.0894,-89.8932
1781,Point,17830,-0.619688,45.9838,-89.374
1133,Point,11340,-0.609515,44.5555,-90.0074
461,Point,4620,-0.598234,43.4214,-88.0568
704,Point,7050,-0.590842,43.9016,-88.6932
1733,Point,17350,-0.588422,45.8438,-92.1019
1217,Point,12180,-0.580292,44.653,-90.1307
795,Point,7960,-0.55587,44.0967,-88.1434
753,Point,7540,-0.554712,44.0047,-88.8415
911,Point,9120,-0.547254,44.2878,-88.6368
1387,Point,13880,-0.545914,44.9464,-91.3649
1717,Point,17190,-0.53891,45.7555,-92.2941
1740,Point,17420,-0.511786,45.8722,-91.4177
1647,Point,16490,-0.508842,45.4789,-88.9937
1762,Point,17640,-0.492421,45.9324,-92.5491
1204,Point,12050,-0.47771,44.6339,-90.0098
1784,Point,17860,-0.477559,45.9927,-89.6826
1787,Point,17890,-0.476532,45.998,-89.6954
1174,Point,11750,-0.476094,44.5991,-90.2501
1844,Point,18460,-0.475114,46.3886,-90.7349
1699,Point,17010,-0.468286,45.6583,-88.4557
1055,Point,10560,-0.466344,44.4719,-89.9729
445,Point,4460,-0.457666,43.4008,-88.0856
931,Point,9320,-0.456622,44.3167,-88.5973
1783,Point,17850,-0.441803,45.9874,-89.6943
464,Point,4650,-0.433943,43.4258,-88.1743
1849,Point,18510,-0.430941,46.4441,-90.8607
998,Point,9990,-0.428001,44.4097,-88.6232
856,Point,8570,-0.42505,44.208,-88.4862
1667,Point,16690,-0.42451,45.5136,-89.576
1196,Point,11970,-0.421163,44.6269,-90.219
897,Point,8980,-0.418414,44.2692,-88.3257
1850,Point,18520,-0.417804,46.4716,-90.5085
924,Point,9250,-0.415527,44.3058,-90.0248
961,Point,9620,-0.404846,44.3602,-89.7937
1715,Point,17170,-0.403675,45.7441,-91.9205
1724,Point,17260,-0.387101,45.8036,-91.9127
1093,Point,10940,-0.385016,44.5127,-90.244
1808,Point,18100,-0.364894,46.0791,-89.7071
96,Point,970,-0.363787,42.7742,-88.114
1703,Point,17050,-0.356221,45.6736,-88.9979
925,Point,9260,-0.35617,44.3077,-89.9835
1203,Point,12040,-0.346304,44.6327,-90.0987
1105,Point,11060,-0.343835,44.5291,-90.1407
1828,Point,18300,-0.343161,46.1586,-89.511
1022,Point,10230,-0.329662,44.4344,-89.7948
355,Point,3560,-0.319293,43.2783,-87.9959
1825,Point,18270,-0.314544,46.1466,-89.579
759,Point,7600,-0.313562,44.0183,-88.769
1107,Point,11080,-0.299628,44.5308,-88.7301
783,Point,7840,-0.298839,44.0622,-88.8054
851,Point,8520,-0.291997,44.2003,-88.4923
1173,Point,11740,-0.289215,44.5983,-90.261
848,Point,8490,-0.279495,44.1978,-88.4482
788,Point,7890,-0.256817,44.0728,-88.5357
1712,Point,17140,-0.254876,45.7232,-91.8848
1797,Point,17990,-0.252619,46.0286,-90.1552
822,Point,8230,-0.250967,44.1553,-88.5765
1087,Point,10880,-0.23103,44.5061,-90.2251
738,Point,7390,-0.225219,43.9678,-88.8507
829,Point,8300,-0.222504,44.168,-88.4965
1156,Point,11570,-0.220187,44.5797,-90.1187
947,Point,9480,-0.214159,44.343,-88.6504
1232,Point,12330,-0.200234,44.6772,-90.1146
970,Point,9710,-0.199794,44.3728,-88.5873
1711,Point,17130,-0.195171,45.7166,-90.7279
857,Point,8580,-0.189192,44.21,-88.8337
337,Point,3380,-0.169538,43.2411,-88.067
900,Point,9010,-0.164977,44.273,-88.5982
1351,Point,13520,-0.162782,44.9094,-88.577
1723,Point,17250,-0.147915,45.7975,-92.6974
758,Point,7590,-0.147778,44.0164,-88.5371
1789,Point,17910,-0.145009,46.0011,-89.3237
102,Point,1030,-0.143082,42.7961,-88.089
1838,Point,18400,-0.138923,46.2402,-89.8913
448,Point,4490,-0.138412,43.4044,-88.0112
1706,Point,17080,-0.13101,45.6875,-92.1043
1805,Point,18070,-0.130002,46.07,-89.5318
1140,Point,11410,-0.128097,44.5633,-88.4623
1857,Point,18590,-0.115008,46.6005,-90.8713
1705,Point,17070,-0.113398,45.6833,-92.7441
1057,Point,10580,-0.112436,44.4736,-87.8676
1646,Point,16480,-0.109046,45.4764,-91.2193
1073,Point,10740,-0.103812,44.4925,-88.2421
1651,Point,16530,-0.097548,45.4819,-88.9129
1694,Point,16960,-0.096084,45.635,-91.196
971,Point,9720,-0.09529,44.3741,-89.7671
1758,Point,17600,-0.093215,45.9219,-92.0952
1149,Point,11500,-0.089999,44.5719,-90.026
1108,Point,11090,-0.085743,44.5322,-87.8054
850,Point,8510,-0.084018,44.1992,-88.6518
1165,Point,11660,-0.083912,44.5883,-88.3973
314,Point,3150,-0.076481,43.2078,-88.1901
936,Point,9370,-0.069213,44.3267,-88.537
100,Point,1010,-0.067953,42.7856,-87.9976
1121,Point,11220,-0.065607,44.5458,-88.5882
77,Point,780,-0.055783,42.7106,-87.9029
1714,Point,17160,-0.05001,45.7388,-89.7474
1621,Point,16230,-0.045764,45.4094,-90.2963
1831,Point,18330,-0.04403,46.1858,-89.8946
973,Point,9740,-0.042332,44.3786,-87.9262
1664,Point,16660,-0.038495,45.508,-88.8521
1668,Point,16700,-0.038492,45.5158,-88.7651
1795,Point,17970,-0.031813,46.0211,-92.2644
922,Point,9230,-0.031394,44.3019,-90.1124
928,Point,9290,-0.027331,44.3128,-87.9437
943,Point,9440,-0.01107,44.3372,-89.7782
224,Point,2250,-0.008641,43.087,-88.077
966,Point,9670,0.002089,44.3686,-89.8843
918,Point,9190,0.010287,44.2992,-87.9909
650,Point,6510,0.011517,43.7803,-88.4493
1788,Point,17900,0.018897,45.9997,-89.7065
1620,Point,16220,0.024361,45.4077,-90.9671
1745,Point,17470,0.024553,45.885,-91.2399
1047,Point,10480,0.025234,44.4625,-90.1815
1739,Point,17410,0.026685,45.8702,-89.7085
1064,Point,10650,0.028213,44.4822,-89.7796
1417,Point,14180,0.029244,44.9861,-88.6043
351,Point,3520,0.029593,43.2681,-87.9104
1229,Point,12300,0.036344,44.6716,-89.9754
1067,Point,10680,0.043031,44.4864,-90.0807
216,Point,2170,0.045297,43.0767,-88.0834
950,Point,9510,0.064087,44.3464,-88.6743
1718,Point,17200,0.067549,45.7694,-90.7529
997,Point,9980,0.073814,44.4089,-88.567
838,Point,8390,0.075257,44.1844,-88.5321
836,Point,8370,0.075842,44.1811,-88.5115
959,Point,9600,0.078845,44.3577,-89.8043
1785,Point,17870,0.080242,45.995,-89.5154
600,Point,6010,0.090836,43.6519,-88.7104
1335,Point,13360,0.091157,44.8917,-87.8779
934,Point,9350,0.093625,44.3214,-88.6337
1835,Point,18370,0.096939,46.2191,-89.7599
1775,Point,17770,0.100573,45.9716,-91.3574
784,Point,7850,0.101313,44.0639,-88.8376
1764,Point,17660,0.105741,45.9391,-89.1554
1150,Point,11510,0.106023,44.5733,-89.986
80,Point,810,0.128227,42.7234,-87.9656
979,Point,9800,0.129101,44.3867,-88.1904
1821,Point,18230,0.130638,46.1344,-90.9418
760,Point,7610,0.131537,44.0191,-88.5604
1138,Point,11390,0.137756,44.56,-88.5365
910,Point,9110,0.142032,44.2864,-88.1026
1089,Point,10900,0.142518,44.5097,-88.1598
1695,Point,16970,0.142675,45.6464,-88.9037
1732,Point,17340,0.147859,45.8383,-92.3757
833,Point,8340,0.149406,44.1764,-88.4487
1339,Point,13400,0.15127,44.8955,-88.649
1702,Point,17040,0.15432,45.6683,-91.244
1079,Point,10800,0.154374,44.4978,-88.194
1855,Point,18570,0.155111,46.5833,-91.5799
1041,Point,10420,0.158812,44.4555,-88.109
317,Point,3180,0.163363,43.2114,-88.0579
763,Point,7640,0.165743,44.0236,-88.5537
756,Point,7570,0.170711,44.0108,-88.7029
1776,Point,17780,0.191319,45.9727,-89.724
1677,Point,16790,0.202328,45.5408,-88.834
921,Point,9220,0.204147,44.3014,-87.9487
1726,Point,17280,0.214529,45.8169,-91.0104
1132,Point,11330,0.214864,44.555,-90.1176
1752,Point,17540,0.228759,45.9038,-88.9748
819,Point,8200,0.234037,44.1486,-88.6062
1843,Point,18450,0.240242,46.3858,-90.6057
1337,Point,13380,0.249516,44.8939,-88.6245
1839,Point,18410,0.25281,46.2458,-89.799
1661,Point,16630,0.262608,45.5005,-91.4582
1062,Point,10630,0.26264,44.48,-89.9568
1730,Point,17320,0.263812,45.8325,-91.5557
1803,Point,18050,0.267757,46.0625,-89.5574
1655,Point,16570,0.272351,45.485,-88.9734
616,Point,6170,0.27282,43.6936,-88.8162
1848,Point,18500,0.276873,46.4205,-91.4607
890,Point,8910,0.279335,44.2567,-88.4334
1106,Point,11070,0.29367,44.53,-90.0715
133,Point,1340,0.293931,42.9106,-88.1762
1159,Point,11600,0.305019,44.5833,-87.8359
810,Point,8110,0.313378,44.1258,-88.7665
1614,Point,16160,0.32198,45.3916,-88.639
446,Point,4470,0.32345,43.4019,-87.8993
172,Point,1730,0.325063,43.0128,-87.9242
862,Point,8630,0.328725,44.2147,-88.5034
1860,Point,18620,0.335943,46.6505,-91.9991
896,Point,8970,0.346038,44.2675,-87.9804
1236,Point,12370,0.346369,44.685,-90.2321
975,Point,9760,0.349206,44.3811,-90.1143
332,Point,3330,0.351058,43.2336,-87.9943
424,Point,4250,0.363003,43.3714,-88.3351
1691,Point,16930,0.363417,45.6069,-91.1946
262,Point,2630,0.372677,43.145,-88.1645
168,Point,1690,0.373408,43.0072,-87.9623
657,Point,6580,0.373481,43.7889,-88.3834
1671,Point,16730,0.378031,45.5233,-91.096
1748,Point,17500,0.383635,45.8916,-92.1844
1629,Point,16310,0.38412,45.4361,-88.7918
1224,Point,12250,0.395236,44.663,-90.1326
994,Point,9950,0.403262,44.405,-88.0251
1114,Point,11150,0.405284,44.5392,-87.9101
755,Point,7560,0.407661,44.0091,-88.844
323,Point,3240,0.415085,43.2195,-87.9918
799,Point,8000,0.421025,44.1078,-88.5326
872,Point,8730,0.423247,44.2305,-88.5032
960,Point,9610,0.423887,44.3589,-88.7293
1024,Point,10250,0.4467,44.4372,-87.782
1137,Point,11380,0.449153,44.5591,-89.9835
1698,Point,17000,0.451548,45.6572,-90.741
1755,Point,17570,0.452234,45.9119,-90.6579
299,Point,3000,0.456669,43.1858,-87.979
467,Point,4680,0.461772,43.43,-88.1607
1109,Point,11100,0.465024,44.5333,-88.1334
151,Point,1520,0.469399,42.9651,-88.3524
68,Point,690,0.482592,42.6828,-88.2351
265,Point,2660,0.485366,43.1478,-88.2179
333,Point,3340,0.485701,43.2356,-87.9823
945,Point,9460,0.488995,44.3411,-87.8187
1782,Point,17840,0.498925,45.9861,-89.6771
937,Point,9380,0.500664,44.3272,-87.9195
965,Point,9660,0.509763,44.3672,-89.7801
932,Point,9330,0.511156,44.318,-90.0257
1720,Point,17220,0.513943,45.7833,-90.8871
1030,Point,10310,0.519273,44.4425,-87.8345
1756,Point,17580,0.521557,45.915,-89.2407
1652,Point,16540,0.523807,45.4827,-89.0148
1088,Point,10890,0.524979,44.5583,-87.8445
790,Point,7910,0.527499,44.0761,-88.5262
1051,Point,10520,0.537865,44.4675,-90.0162
1845,Point,18470,0.538213,46.393,-90.7607
768,Point,7690,0.538852,44.0325,-88.5851
1834,Point,18360,0.545383,46.2111,-89.6924
1817,Point,18190,0.548075,46.1197,-89.8488
1670,Point,16720,0.552927,45.5216,-90.9268
457,Point,4580,0.554798,43.4158,-88.0156
1743,Point,17450,0.557642,45.8802,-92.6052
721,Point,7220,0.560344,43.9322,-88.8746
1862,Point,18640,0.563904,46.8088,-90.816
1791,Point,17930,0.567689,46.008,-90.1402
1751,Point,17530,0.568048,45.9013,-89.4601
220,Point,2210,0.57178,43.0822,-88.4495
1081,Point,10820,0.57896,44.4992,-87.9073
140,Point,1410,0.57995,42.9342,-88.4062
617,Point,6180,0.583486,43.6961,-88.7301
1130,Point,11310,0.586054,44.5542,-88.1582
171,Point,1720,0.590621,43.0114,-88.0426
270,Point,2710,0.591614,43.1517,-88.1865
884,Point,8850,0.59488,44.25,-89.9635
402,Point,4030,0.596817,43.3394,-88.2676
1191,Point,11920,0.599102,44.6214,-87.8034
1003,Point,10040,0.599964,44.4153,-88.1034
823,Point,8240,0.600842,44.1561,-88.5437
1673,Point,16750,0.601443,45.5283,-92.2846
1042,Point,10430,0.604157,44.4575,-87.8148
1617,Point,16190,0.611258,45.4005,-88.7298
206,Point,2070,0.615866,43.0575,-88.3712
1697,Point,16990,0.620504,45.655,-92.7724
1533,Point,15340,0.629589,45.1777,-89.7262
511,Point,5120,0.63939,43.4892,-88.0273
967,Point,9680,0.644409,44.37,-88.1373
109,Point,1100,0.648004,42.8161,-88.0326
1679,Point,16810,0.654336,45.5469,-88.6537
1194,Point,11950,0.658501,44.6258,-90.061
1534,Point,15350,0.661782,45.1794,-89.6635
334,Point,3350,0.66402,43.2369,-87.9898
410,Point,4110,0.665936,43.3514,-88.1043
1736,Point,17380,0.670633,45.8555,-89.6815
1847,Point,18490,0.670788,46.4094,-90.5718
718,Point,7190,0.688884,43.9269,-88.8846
141,Point,1420,0.691853,42.9361,-88.0318
1742,Point,17440,0.691909,45.8769,-92.3702
122,Point,1230,0.70932,42.8656,-88.4929
1035,Point,10360,0.711345,44.4492,-88.0604
724,Point,7250,0.71445,43.9369,-88.1232
951,Point,9520,0.717173,44.3469,-90.3126
620,Point,6210,0.728994,43.7036,-88.8482
1039,Point,10400,0.72941,44.453,-88.0901
1128,Point,11290,0.732861,44.5533,-87.8543
1713,Point,17150,0.733215,45.7319,-88.7693
611,Point,6120,0.735716,43.6775,-87.8826
1097,Point,10980,0.74849,44.5186,-87.884
67,Point,680,0.750251,42.6812,-88.3004
453,Point,4540,0.756821,43.4114,-88.0787
1824,Point,18260,0.758045,46.1427,-90.5893
1837,Point,18390,0.761283,46.2283,-89.7213
1771,Point,17730,0.762958,45.9597,-89.8218
301,Point,3020,0.764033,43.1886,-88.1729
1709,Point,17110,0.772762,45.7041,-92.7913
184,Point,1850,0.774484,43.0289,-88.1115
341,Point,3420,0.777845,43.2489,-87.9287
974,Point,9750,0.78004,44.3803,-88.7262
1070,Point,10710,0.780391,44.4889,-88.1293
1169,Point,11700,0.795156,44.5922,-88.1184
1778,Point,17800,0.799597,45.9783,-89.6874
454,Point,4550,0.802083,43.4122,-87.9006
1859,Point,18610,0.805137,46.6191,-91.7202
583,Point,5840,0.808302,43.6188,-88.0378
1168,Point,11690,0.809281,44.5911,-87.8332
1819,Point,18210,0.811127,46.1269,-92.181
1846,Point,18480,0.813657,46.4013,-90.5668
1779,Point,17810,0.814941,45.9811,-89.6732
845,Point,8460,0.816647,44.1944,-88.4848
1126,Point,11270,0.822738,44.5517,-88.1493
1028,Point,10290,0.823442,44.4405,-88.5854
895,Point,8960,0.82882,44.2658,-89.7765
837,Point,8380,0.830116,44.1825,-88.6548
241,Point,2420,0.834651,43.1133,-88.2212
1006,Point,10070,0.836601,44.4183,-88.1701
462,Point,4630,0.841817,43.4233,-88.8984
1721,Point,17230,0.842012,45.7897,-89.5735
1683,Point,16850,0.845652,45.5641,-88.9129
1669,Point,16710,0.84727,45.5177,-89.566
1152,Point,11530,0.847394,44.575,-87.8765
1068,Point,10690,0.848451,44.4872,-87.8801
162,Point,1630,0.852448,42.9964,-87.9429
1164,Point,11650,0.853425,44.5872,-87.8929
1641,Point,16430,0.853737,45.4669,-88.9054
305,Point,3060,0.854913,43.1933,-88.1101
181,Point,1820,0.864979,43.0253,-87.9109
1746,Point,17480,0.867864,45.8874,-92.1032
1829,Point,18310,0.867957,46.1633,-90.0602
1747,Point,17490,0.868393,45.8891,-91.2677
501,Point,5020,0.870031,43.4739,-87.9948
143,Point,1440,0.880407,42.9411,-88.0598
579,Point,5800,0.886755,43.6122,-88.0837
782,Point,7830,0.89252,44.0597,-88.1423
1774,Point,17760,0.894219,45.9694,-92.0616
245,Point,2460,0.897605,43.1186,-88.0373
1826,Point,18280,0.901119,46.1516,-92.1427
1814,Point,18160,0.901546,46.1055,-89.7849
1125,Point,11260,0.901571,44.55,-88.0457
892,Point,8930,0.902972,44.2586,-88.0915
470,Point,4710,0.904527,43.4339,-88.1898
944,Point,9450,0.907155,44.3386,-88.0865
384,Point,3850,0.911564,43.3192,-88.3365
638,Point,6390,0.9123,43.7489,-88.4584
1689,Point,16910,0.913133,45.5841,-88.994
969,Point,9700,0.913333,44.3719,-88.7309
1032,Point,10330,0.91643,44.4441,-90.1312
1760,Point,17620,0.919569,45.928,-91.3791
1657,Point,16590,0.934929,45.488,-91.0718
923,Point,9240,0.938356,44.3044,-88.0295
401,Point,4020,0.949578,43.3383,-88.1818
469,Point,4700,0.954447,43.4325,-88.8762
1804,Point,18060,0.956579,46.0666,-92.2374
280,Point,2810,0.96012,43.162,-88.1848
1761,Point,17630,0.961722,45.9308,-89.4424
1227,Point,12280,0.964428,44.6694,-90.1399
1110,Point,11110,0.973689,44.5339,-87.8787
494,Point,4950,0.985659,43.4658,-88.0612
90,Point,910,0.987702,42.7536,-88.0176
770,Point,7710,0.990315,44.0344,-88.8526
869,Point,8700,0.99244,44.2258,-88.4751
1179,Point,11800,0.997461,44.6064,-88.0401
1178,Point,11790,1.002877,44.6044,-87.7854
634,Point,6350,1.006148,43.7414,-88.1895
1767,Point,17690,1.014955,45.9458,-92.5299
1827,Point,18290,1.01532,46.1555,-89.7513
1777,Point,17790,1.021963,45.9747,-89.6882
778,Point,7790,1.024558,44.0505,-88.6301
437,Point,4380,1.031868,43.3894,-88.1601
498,Point,4990,1.034707,43.4703,-87.9473
941,Point,9420,1.036263,44.3344,-89.8799
426,Point,4270,1.036475,43.3739,-87.9029
1037,Point,10380,1.04539,44.4514,-87.9137
306,Point,3070,1.05114,43.1942,-88.0995
1648,Point,16500,1.053904,45.4797,-88.9943
927,Point,9280,1.054664,44.3114,-88.0815
325,Point,3260,1.057482,43.222,-88.1726
1766,Point,17680,1.0627,45.9433,-92.0577
996,Point,9970,1.065935,44.4078,-87.8257
1616,Point,16180,1.06899,45.3972,-88.8537
